f	alphas	sfs	path
1	-0.6478490194932653	nopos	noDemog_0.4_0.1_0.2
2	-0.15857500145180126	nopos	noDemog_0.4_0.1_0.2
3	-0.08418236459781125	nopos	noDemog_0.4_0.1_0.2
4	-0.047677654500662525	nopos	noDemog_0.4_0.1_0.2
5	-0.028115257687911344	nopos	noDemog_0.4_0.1_0.2
6	-0.009548325401042002	nopos	noDemog_0.4_0.1_0.2
7	0.004293473105545842	nopos	noDemog_0.4_0.1_0.2
8	0.013965116595230254	nopos	noDemog_0.4_0.1_0.2
9	0.02351751201757768	nopos	noDemog_0.4_0.1_0.2
10	0.031837847308704426	nopos	noDemog_0.4_0.1_0.2
11	0.0405990878191943	nopos	noDemog_0.4_0.1_0.2
12	0.04492733670335414	nopos	noDemog_0.4_0.1_0.2
13	0.051056556115949614	nopos	noDemog_0.4_0.1_0.2
14	0.05451312166720679	nopos	noDemog_0.4_0.1_0.2
15	0.06289850003618169	nopos	noDemog_0.4_0.1_0.2
16	0.0675771690996394	nopos	noDemog_0.4_0.1_0.2
17	0.07383838456068137	nopos	noDemog_0.4_0.1_0.2
18	0.07535528541215075	nopos	noDemog_0.4_0.1_0.2
19	0.08012560302712479	nopos	noDemog_0.4_0.1_0.2
20	0.08389623865699292	nopos	noDemog_0.4_0.1_0.2
21	0.08466296291890296	nopos	noDemog_0.4_0.1_0.2
22	0.08801979307612606	nopos	noDemog_0.4_0.1_0.2
23	0.08866767616344218	nopos	noDemog_0.4_0.1_0.2
24	0.08901563312938277	nopos	noDemog_0.4_0.1_0.2
25	0.08959151684120858	nopos	noDemog_0.4_0.1_0.2
26	0.09348290627109279	nopos	noDemog_0.4_0.1_0.2
27	0.09820236384246728	nopos	noDemog_0.4_0.1_0.2
28	0.10009577066379705	nopos	noDemog_0.4_0.1_0.2
29	0.10185720130731701	nopos	noDemog_0.4_0.1_0.2
30	0.10157330095308081	nopos	noDemog_0.4_0.1_0.2
31	0.10393298349909208	nopos	noDemog_0.4_0.1_0.2
32	0.10328033857227326	nopos	noDemog_0.4_0.1_0.2
33	0.10599639557733764	nopos	noDemog_0.4_0.1_0.2
34	0.11208838590913073	nopos	noDemog_0.4_0.1_0.2
35	0.11362884252124139	nopos	noDemog_0.4_0.1_0.2
36	0.1161772482279998	nopos	noDemog_0.4_0.1_0.2
37	0.11953404600356943	nopos	noDemog_0.4_0.1_0.2
38	0.12086700949262319	nopos	noDemog_0.4_0.1_0.2
39	0.12173897307979575	nopos	noDemog_0.4_0.1_0.2
40	0.12047987356754053	nopos	noDemog_0.4_0.1_0.2
41	0.12062876341304951	nopos	noDemog_0.4_0.1_0.2
42	0.1215768554226343	nopos	noDemog_0.4_0.1_0.2
43	0.12276873795400578	nopos	noDemog_0.4_0.1_0.2
44	0.12603377809869654	nopos	noDemog_0.4_0.1_0.2
45	0.12627180082381328	nopos	noDemog_0.4_0.1_0.2
46	0.1240137645312982	nopos	noDemog_0.4_0.1_0.2
47	0.1270794124534531	nopos	noDemog_0.4_0.1_0.2
48	0.12975593878150593	nopos	noDemog_0.4_0.1_0.2
49	0.13109372500269234	nopos	noDemog_0.4_0.1_0.2
50	0.13589743024542644	nopos	noDemog_0.4_0.1_0.2
51	0.13611750313651483	nopos	noDemog_0.4_0.1_0.2
